"cred" "current" "duration" "amount" "former" "purpose"
"C" "N" 6 338 "G" "Pri"
"C" "G" 9 2697 "G" "Pri"
"C" "G" 9 2507 "G" "Pro"
"C" "G" 15 1478 "G" "Pri"
"C" "G" 12 3565 "G" "Pri"
"C" "G" 15 2221 "G" "Pri"
"C" "G" 6 1898 "G" "Pri"
"C" "M" 6 1449 "G" "Pro"
"C" "G" 15 960 "G" "Pri"
"C" "G" 36 8133 "G" "Pri"
"C" "G" 9 2301 "G" "Pri"
"C" "G" 6 1743 "G" "Pro"
"C" "M" 12 983 "G" "Pri"
"C" "G" 18 2320 "G" "Pri"
"C" "N" 12 339 "B" "Pri"
"C" "M" 24 5152 "G" "Pri"
"C" "M" 24 3749 "G" "Pri"
"C" "G" 9 3074 "G" "Pri"
"NC" "M" 9 745 "G" "Pri"
"C" "G" 24 1469 "G" "Pro"
"C" "N" 6 1374 "G" "Pri"
"C" "G" 6 783 "B" "Pro"
"C" "N" 21 2606 "G" "Pri"
"C" "G" 54 9436 "B" "Pri"
"C" "G" 12 930 "G" "Pri"
"C" "G" 48 2751 "G" "Pri"
"C" "G" 6 250 "G" "Pro"
"C" "M" 24 1201 "G" "Pro"
"C" "N" 6 662 "G" "Pro"
"C" "G" 15 1300 "G" "Pri"
"C" "G" 24 1559 "B" "Pro"
"C" "M" 12 3016 "G" "Pri"
"C" "G" 15 1360 "G" "Pri"
"C" "G" 6 1204 "B" "Pro"
"C" "G" 10 1597 "G" "Pro"
"C" "G" 12 2073 "G" "Pri"
"C" "G" 11 2142 "G" "Pro"
"C" "N" 10 2132 "G" "Pri"
"C" "G" 10 1546 "G" "Pro"
"C" "G" 24 1287 "G" "Pro"
"C" "G" 10 1418 "G" "Pro"
"C" "M" 6 1343 "G" "Pro"
"C" "G" 18 2662 "G" "Pro"
"C" "G" 18 6070 "G" "Pri"
"C" "G" 24 1927 "G" "Pri"
"C" "G" 18 2404 "G" "Pri"
"C" "G" 6 1554 "G" "Pri"
"C" "G" 22 1283 "G" "Pro"
"C" "G" 24 717 "G" "Pro"
"C" "N" 24 1747 "G" "Pri"
"C" "N" 9 1288 "G" "Pri"
"C" "N" 10 1038 "G" "Pro"
"C" "G" 10 2848 "G" "Pri"
"C" "G" 12 1413 "G" "Pri"
"C" "G" 30 3077 "G" "Pri"
"C" "N" 24 3632 "B" "Pri"
"C" "G" 18 3229 "G" "Pri"
"C" "G" 9 3577 "G" "Pro"
"C" "G" 12 682 "G" "Pro"
"C" "G" 10 1924 "G" "Pri"
"C" "G" 10 727 "G" "Pri"
"C" "M" 10 781 "G" "Pro"
"C" "N" 12 2121 "G" "Pro"
"C" "G" 12 701 "G" "Pri"
"C" "G" 10 2069 "G" "Pri"
"C" "G" 24 1525 "G" "Pro"
"C" "G" 48 7629 "G" "Pro"
"NC" "N" 12 3499 "G" "Pro"
"C" "G" 6 1346 "G" "Pri"
"C" "G" 36 10477 "G" "Pri"
"C" "N" 24 2924 "G" "Pri"
"C" "G" 10 1231 "G" "Pro"
"C" "M" 18 1961 "G" "Pro"
"C" "G" 15 5045 "G" "Pro"
"C" "G" 12 1255 "G" "Pro"
"C" "N" 12 1858 "G" "Pri"
"C" "G" 6 1221 "G" "Pri"
"C" "G" 9 1388 "G" "Pri"
"C" "G" 12 2279 "G" "Pri"
"C" "G" 12 2759 "B" "Pri"
"C" "M" 24 1258 "G" "Pri"
"C" "M" 12 1410 "B" "Pri"
"C" "N" 15 1403 "G" "Pro"
"C" "N" 24 3021 "G" "Pri"
"C" "N" 24 6568 "G" "Pro"
"C" "G" 24 2578 "G" "Pri"
"C" "M" 24 7758 "G" "Pri"
"C" "N" 6 343 "G" "Pri"
"C" "G" 21 1591 "G" "Pri"
"C" "N" 27 3416 "G" "Pri"
"NC" "N" 12 1108 "B" "Pri"
"C" "M" 27 5965 "G" "Pri"
"C" "M" 15 1514 "G" "Pri"
"C" "G" 30 6742 "G" "Pri"
"C" "N" 18 3650 "G" "Pri"
"C" "N" 21 3599 "G" "Pri"
"C" "G" 60 13756 "G" "Pro"
"C" "M" 9 276 "G" "Pro"
"C" "G" 42 4041 "G" "Pri"
"C" "M" 9 458 "G" "Pri"
"NC" "M" 9 918 "G" "Pri"
"C" "G" 24 7393 "G" "Pro"
"C" "M" 10 1225 "G" "Pri"
"C" "N" 24 2812 "G" "Pri"
"C" "G" 15 3029 "G" "Pri"
"C" "M" 12 1480 "G" "Pro"
"C" "M" 6 1047 "G" "Pri"
"C" "G" 15 1471 "G" "Pri"
"C" "G" 24 5511 "G" "Pri"
"C" "M" 9 1206 "G" "Pri"
"C" "M" 24 6403 "G" "Pri"
"C" "G" 12 707 "G" "Pri"
"C" "G" 12 1503 "G" "Pri"
"C" "M" 12 6078 "G" "Pro"
"C" "M" 27 2528 "G" "Pro"
"C" "M" 12 1037 "G" "Pro"
"C" "N" 6 1352 "G" "Pri"
"C" "G" 24 3181 "G" "Pri"
"C" "G" 18 4594 "G" "Pri"
"C" "M" 48 5381 "G" "Pro"
"C" "G" 15 4657 "G" "Pri"
"C" "M" 9 1391 "G" "Pro"
"C" "M" 18 1913 "G" "Pro"
"C" "G" 42 7166 "G" "Pri"
"C" "G" 13 1409 "G" "Pri"
"C" "G" 24 2978 "G" "Pro"
"C" "G" 12 976 "G" "Pri"
"C" "G" 24 2375 "G" "Pro"
"C" "G" 12 522 "G" "Pri"
"C" "G" 28 2743 "G" "Pri"
"C" "G" 11 1154 "G" "Pri"
"C" "G" 24 5804 "G" "Pri"
"C" "G" 18 1169 "G" "Pri"
"C" "N" 15 1478 "G" "Pri"
"C" "G" 12 776 "G" "Pri"
"C" "M" 11 1322 "G" "Pro"
"C" "M" 16 1175 "G" "Pro"
"C" "G" 12 2133 "G" "Pro"
"C" "G" 15 1829 "G" "Pri"
"C" "G" 12 717 "G" "Pri"
"C" "M" 39 11760 "G" "Pri"
"NC" "M" 9 1501 "G" "Pri"
"C" "N" 12 1200 "G" "Pri"
"C" "M" 9 3195 "G" "Pro"
"C" "G" 30 4530 "G" "Pri"
"NC" "G" 12 1555 "G" "Pri"
"C" "M" 15 2326 "G" "Pro"
"C" "M" 18 1887 "G" "Pro"
"C" "G" 12 1264 "G" "Pro"
"C" "G" 7 846 "G" "Pri"
"C" "G" 15 1532 "G" "Pri"
"C" "G" 6 935 "G" "Pri"
"C" "N" 27 2442 "G" "Pro"
"C" "M" 18 3590 "G" "Pro"
"C" "G" 21 2288 "G" "Pri"
"C" "G" 27 5117 "G" "Pro"
"C" "N" 39 14179 "G" "Pri"
"C" "G" 15 1386 "G" "Pri"
"C" "G" 12 618 "G" "Pri"
"C" "G" 12 1574 "G" "Pri"
"C" "G" 6 700 "G" "Pri"
"C" "G" 12 886 "G" "Pri"
"C" "G" 36 4686 "G" "Pri"
"C" "M" 9 790 "G" "Pri"
"NC" "M" 12 766 "G" "Pri"
"C" "N" 20 2212 "G" "Pri"
"C" "M" 10 7308 "G" "Pro"
"C" "M" 24 5743 "G" "Pri"
"C" "N" 14 3973 "G" "Pro"
"C" "M" 60 7418 "G" "Pri"
"C" "M" 20 2629 "G" "Pro"
"C" "M" 18 1941 "G" "Pro"
"C" "M" 24 2333 "G" "Pri"
"C" "G" 12 2445 "G" "Pri"
"C" "M" 20 6468 "G" "Pri"
"C" "M" 18 7374 "G" "Pri"
"C" "G" 15 3812 "G" "Pri"
"NC" "N" 28 4006 "G" "Pro"
"C" "M" 12 7472 "G" "Pro"
"C" "M" 12 1424 "G" "Pri"
"C" "M" 12 2028 "G" "Pri"
"C" "G" 15 5324 "G" "Pro"
"C" "M" 36 2323 "G" "Pri"
"C" "G" 12 1393 "G" "Pri"
"C" "G" 18 1984 "G" "Pri"
"C" "G" 24 999 "G" "Pri"
"C" "G" 36 7409 "G" "Pro"
"C" "G" 15 2186 "G" "Pri"
"C" "M" 36 4473 "G" "Pri"
"C" "G" 24 937 "G" "Pri"
"C" "G" 18 3422 "G" "Pri"
"C" "G" 24 3105 "G" "Pri"
"C" "G" 12 2748 "G" "Pri"
"C" "M" 18 3872 "G" "Pri"
"C" "G" 27 5190 "G" "Pri"
"C" "M" 18 3001 "G" "Pri"
"C" "G" 24 3863 "G" "Pro"
"C" "G" 12 5801 "G" "Pri"
"C" "G" 12 1592 "G" "Pri"
"C" "G" 12 1185 "G" "Pro"
"C" "G" 18 3780 "G" "Pri"
"C" "M" 18 3612 "G" "Pri"
"C" "G" 12 1076 "G" "Pro"
"C" "G" 12 3527 "G" "Pro"
"C" "G" 18 2051 "G" "Pri"
"C" "G" 12 3331 "G" "Pri"
"C" "N" 18 3104 "B" "Pro"
"C" "G" 24 2611 "G" "Pri"
"C" "N" 12 1409 "G" "Pri"
"C" "G" 24 1311 "G" "Pri"
"C" "G" 6 2108 "G" "Pri"
"C" "G" 24 4042 "G" "Pri"
"C" "G" 12 926 "G" "Pro"
"C" "N" 12 1680 "G" "Pri"
"C" "G" 24 1249 "G" "Pro"
"C" "G" 24 2463 "G" "Pro"
"C" "G" 6 1595 "G" "Pri"
"C" "G" 24 2058 "G" "Pri"
"C" "G" 24 7814 "G" "Pri"
"C" "G" 6 1740 "G" "Pri"
"C" "G" 12 1240 "G" "Pri"
"C" "G" 24 6842 "G" "Pri"
"C" "G" 24 5150 "G" "Pri"
"C" "N" 6 1203 "G" "Pro"
"C" "G" 6 2080 "G" "Pro"
"C" "G" 6 1538 "G" "Pri"
"C" "M" 24 3878 "G" "Pro"
"C" "M" 30 3832 "G" "Pri"
"C" "G" 15 3186 "G" "Pro"
"C" "M" 24 2896 "G" "Pri"
"C" "M" 24 6967 "G" "Pro"
"NC" "G" 36 1819 "G" "Pri"
"NC" "G" 24 5943 "G" "Pri"
"NC" "G" 36 7127 "G" "Pri"
"NC" "G" 36 3349 "G" "Pri"
"NC" "G" 36 10974 "G" "Pri"
"C" "G" 6 518 "G" "Pri"
"C" "G" 18 1126 "G" "Pri"
"C" "M" 12 1860 "G" "Pri"
"C" "G" 36 9566 "G" "Pri"
"C" "N" 12 701 "G" "Pri"
"C" "M" 12 2930 "G" "Pri"
"C" "G" 18 1505 "G" "Pri"
"C" "G" 18 2238 "G" "Pri"
"C" "G" 4 1503 "G" "Pri"
"C" "G" 24 2197 "G" "Pri"
"C" "M" 12 1881 "G" "Pri"
"C" "N" 18 1880 "G" "Pri"
"C" "N" 18 2389 "G" "Pri"
"C" "M" 24 1967 "G" "Pri"
"C" "G" 4 3380 "G" "Pro"
"C" "G" 4 1455 "G" "Pro"
"C" "G" 7 730 "G" "Pri"
"C" "M" 18 3244 "B" "Pri"
"NC" "M" 9 1670 "G" "Pri"
"C" "M" 48 3979 "G" "Pri"
"NC" "M" 12 1922 "G" "Pri"
"C" "M" 18 1295 "G" "Pri"
"C" "G" 4 1544 "G" "Pri"
"C" "M" 8 907 "G" "Pro"
"C" "M" 30 1715 "G" "Pri"
"C" "M" 10 1347 "G" "Pri"
"C" "M" 12 1007 "G" "Pro"
"C" "G" 12 1402 "G" "Pri"
"C" "M" 12 2002 "G" "Pro"
"C" "G" 12 2096 "G" "Pri"
"C" "G" 12 1101 "G" "Pro"
"C" "G" 10 894 "G" "Pri"
"C" "M" 11 1577 "G" "Pri"
"C" "G" 33 2764 "G" "Pro"
"C" "M" 48 8358 "B" "Pro"
"C" "M" 12 1474 "G" "Pri"
"C" "G" 24 5433 "G" "Pri"
"C" "M" 14 1410 "G" "Pro"
"C" "G" 20 3485 "G" "Pro"
"C" "G" 18 3850 "G" "Pri"
"NC" "M" 60 7408 "G" "Pro"
"C" "M" 24 1377 "G" "Pri"
"C" "G" 30 4272 "G" "Pro"
"C" "M" 24 1553 "G" "Pri"
"C" "M" 36 9857 "G" "Pro"
"C" "G" 6 362 "G" "Pro"
"C" "G" 12 1935 "G" "Pri"
"C" "G" 48 10222 "G" "Pri"
"C" "M" 12 1330 "G" "Pro"
"C" "G" 36 9055 "G" "Pri"
"C" "M" 26 7966 "G" "Pri"
"C" "M" 30 3496 "B" "Pri"
"C" "M" 36 6948 "G" "Pri"
"C" "M" 48 12204 "B" "Pro"
"NC" "N" 36 3446 "G" "Pri"
"NC" "N" 12 684 "G" "Pri"
"NC" "N" 33 4281 "G" "Pri"
"NC" "N" 42 7174 "G" "Pri"
"NC" "N" 24 1546 "B" "Pri"
"NC" "N" 24 2359 "G" "Pri"
"NC" "G" 24 3621 "G" "Pri"
"NC" "N" 12 741 "G" "Pri"
"NC" "N" 12 7865 "G" "Pri"
"C" "N" 24 2910 "G" "Pri"
"C" "N" 18 5302 "G" "Pro"
"C" "N" 36 3620 "G" "Pri"
"C" "N" 18 3509 "G" "Pri"
"C" "M" 12 3017 "G" "Pri"
"C" "N" 12 1657 "G" "Pri"
"C" "N" 8 1164 "G" "Pro"
"NC" "N" 36 6229 "G" "Pri"
"NC" "N" 24 1193 "B" "Pro"
"C" "N" 30 4583 "B" "Pri"
"C" "N" 36 5371 "G" "Pri"
"C" "N" 12 708 "G" "Pri"
"C" "N" 21 571 "G" "Pro"
"C" "N" 30 2522 "G" "Pri"
"NC" "N" 36 5179 "G" "Pri"
"NC" "N" 36 8229 "G" "Pri"
"C" "G" 24 2028 "G" "Pri"
"C" "N" 6 1374 "G" "Pro"
"C" "N" 12 1289 "G" "Pri"
"NC" "N" 36 2712 "G" "Pri"
"C" "N" 15 975 "G" "Pri"
"C" "M" 6 1050 "G" "Pri"
"C" "N" 6 609 "G" "Pro"
"C" "N" 48 4788 "G" "Pri"
"C" "M" 24 3069 "G" "Pri"
"NC" "M" 12 836 "G" "Pro"
"C" "N" 12 2577 "G" "Pri"
"C" "N" 12 1620 "G" "Pri"
"C" "N" 15 1845 "G" "Pri"
"C" "N" 24 6579 "G" "Pri"
"C" "N" 12 1893 "G" "Pro"
"C" "N" 30 10623 "G" "Pri"
"C" "N" 18 2249 "G" "Pro"
"NC" "N" 30 3108 "G" "Pri"
"C" "M" 12 958 "G" "Pro"
"C" "G" 24 9277 "G" "Pri"
"C" "G" 24 6314 "G" "Pro"
"C" "N" 12 1526 "G" "Pri"
"C" "N" 12 3590 "G" "Pri"
"C" "N" 24 6615 "G" "Pri"
"C" "N" 6 1872 "G" "Pri"
"C" "G" 12 2859 "G" "Pro"
"C" "G" 18 1582 "G" "Pri"
"C" "G" 6 1238 "G" "Pri"
"C" "N" 12 2578 "G" "Pri"
"C" "N" 15 1433 "G" "Pri"
"C" "N" 42 7882 "G" "Pri"
"C" "N" 24 4169 "G" "Pri"
"C" "N" 36 3959 "G" "Pri"
"C" "N" 36 3249 "G" "Pro"
"C" "N" 24 3149 "G" "Pri"
"NC" "N" 12 2246 "G" "Pri"
"C" "N" 13 1797 "G" "Pro"
"C" "N" 20 4272 "G" "Pri"
"C" "N" 24 2957 "G" "Pri"
"C" "N" 36 2348 "G" "Pri"
"C" "M" 42 6289 "B" "Pro"
"C" "N" 24 6419 "G" "Pri"
"NC" "N" 48 6143 "G" "Pri"
"C" "G" 24 1597 "G" "Pri"
"C" "N" 36 15857 "G" "Pro"
"C" "G" 24 2223 "G" "Pri"
"C" "G" 48 7238 "G" "Pri"
"C" "M" 30 2503 "G" "Pro"
"C" "M" 18 2622 "G" "Pro"
"C" "M" 24 4351 "G" "Pri"
"C" "M" 6 368 "G" "Pri"
"C" "M" 12 754 "G" "Pri"
"C" "G" 24 2424 "G" "Pri"
"C" "M" 48 6681 "G" "Pro"
"C" "M" 18 2427 "G" "Pro"
"NC" "M" 24 1216 "G" "Pri"
"C" "M" 6 753 "G" "Pri"
"C" "M" 7 2576 "G" "Pri"
"C" "M" 6 590 "G" "Pri"
"C" "M" 8 1414 "G" "Pri"
"C" "M" 12 1103 "G" "Pri"
"C" "M" 12 585 "G" "Pri"
"C" "M" 6 1068 "G" "Pri"
"C" "N" 8 713 "G" "Pro"
"C" "M" 12 1092 "G" "Pri"
